GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400007,12,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,157,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,37,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,15,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,42,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,179,237,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,94,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,-175,264,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,121,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,137,36,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,161,120,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,133,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,33,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,2,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,148,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,14,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-25,183,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,295,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,129,252,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,347,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,71,1,1,20241112,GSW,DAL
