PLAYER_NAME,TEAM_ABBREVIATION,games_played,mpg,ppg,true_shooting_pct,effective_fg_pct,ast_to_tov_ratio,three_point_rate,avg_plus_minus
Jarrett Allen,CLE,82,28.0,13.5,72.6,70.5,1.58,1.3,6.3
Adem Bona,PHI,58,15.6,5.8,71.6,69.7,0.45,0.0,-1.9
Daniel Gafford,DAL,57,21.5,12.3,71.5,70.4,1.17,0.0,0.6
Jaxson Hayes,LAL,56,19.5,6.8,71.0,72.5,1.25,2.5,1.6
Jalen Duren,DET,78,26.1,11.8,70.5,68.6,1.59,0.0,0.5
Dereck Lively II,DAL,36,23.1,8.7,70.4,69.8,2.18,0.0,3.4
Richaun Holmes,WAS,31,17.2,7.4,69.3,64.4,2.0,2.2,-1.2
Luke Kornet,BOS,73,18.6,6.0,68.6,68.4,4.0,0.0,5.5
Rudy Gobert,MIN,72,33.2,12.0,68.4,66.2,1.5,0.0,4.5
Robert Williams III,POR,20,17.6,5.8,67.5,65.4,1.22,5.1,-0.9
Mitchell Robinson,NYK,17,17.1,5.1,67.4,66.7,1.33,0.0,1.4
Neemias Queta,BOS,62,13.9,5.0,66.8,63.6,1.17,0.0,2.5
Walker Kessler,UTA,58,30.0,11.1,66.5,67.4,1.13,8.3,-5.7
Christian Braun,DEN,79,33.9,15.4,66.4,63.0,2.6,26.9,6.1
Nikola Jokić,DEN,70,36.7,29.6,66.3,62.6,3.09,24.1,8.5
Vít Krejčí,ATL,57,20.2,7.2,66.0,64.7,2.89,70.6,-1.2
Keon Ellis,SAC,80,24.4,8.3,66.0,62.9,1.67,69.0,0.8
Harrison Barnes,SAS,82,27.2,12.3,65.7,62.0,2.83,53.0,-0.3
Aaron Gordon,DEN,51,28.4,14.7,65.4,61.3,2.29,35.1,5.9
Domantas Sabonis,SAC,70,34.7,19.1,65.4,62.1,2.07,17.2,2.1
Mason Plumlee,PHX,74,17.6,4.5,65.3,63.0,2.25,3.7,0.7
Aaron Nesmith,IND,45,24.9,12.0,65.3,62.5,1.5,51.2,4.4
